"Title","Hand","Laterality","Gender","Age","Height","Weight","zip files"
"01","Intact","Right Handed","Male","31","170","75","s1.zip"
"02","Intact","Right Handed","Male","27","170","62","s2.zip"
"03","Intact","Right Handed","Male","22","180","85","s3.zip"
"04","Intact","Right Handed","Male","27","183","95","s4.zip"
"05","Intact","Right Handed","Male","27","178","75","s5.zip"
"06","Intact","Right Handed","Female","22","163","48","s6.zip"
"07","Intact","Right Handed","Male","28","170","60","s7.zip"
"08","Intact","Right Handed","Female","27","164","54","s8.zip"
"09","Intact","Right Handed","Male","23","173","63","s9.zip"
"10","Intact","Right Handed","Female","30","160","60","s10.zip"
"11","Intact","Right Handed","Male","28","170","67","s11.zip"
"12","Intact","Right Handed","Male","25","185","80","s12.zip"
"13","Intact","Right Handed","Male","27","184","85","s13.zip"
"14","Intact","Left Handed","Female","29","155","54","s14.zip"
"15","Intact","Right Handed","Female","26","162","60","s15.zip"
"16","Intact","Left Handed","Male","29","167","67","s16.zip"
"17","Intact","Right Handed","Male","30","175","76","s17.zip"
"18","Intact","Right Handed","Male","29","178","68","s18.zip"
"19","Intact","Right Handed","Male","34","173","82","s19.zip"
"20","Intact","Right Handed","Female","26","165","54","s20.zip"
"21","Intact","Right Handed","Male","38","178","73","s21.zip"
"22","Intact","Right Handed","Female","35","168","65","s22.zip"
"23","Intact","Right Handed","Male","30","180","65","s23.zip"
"24","Intact","Right Handed","Male","26","180","65","s24.zip"
"25","Intact","Right Handed","Male","28","180","70","s25.zip"
"26","Intact","Right Handed","Male","40","179","66","s26.zip"
"27","Intact","Right Handed","Male","28","185","100","s27.zip"
